yy,mm,dd,site,ph,do,bod,cod,ss,tn,tp,toc,t.coli,cd,cn,pb,cr6+,as,hg,chla,f.coli,abs,sb
1994,7,5,암사,7.6,5.2,3,5,9,3.139,0.157,,90000,,,,,,,,,,
1994,7,11,가양,7.4,6.6,4,4.6,7.7,4.914,0.192,,150000,0,0,0,0,0,0,,,0.1,
1994,7,11,노량진,7.6,7.2,3.3,4.1,5,5.203,0.137,,380000,0,0,0,0,0,0,,,0,
1994,7,11,중랑천2,7.2,7.4,9,8.7,42,12.696,0.443,,3000000,,,,,,,,,,
1994,7,11,중랑천3,7.6,7.6,4.7,7.6,50,8.184,0.356,,1300000,,,,,,,,,,
1994,7,11,중랑천4,7.5,5.4,20.2,16.6,33,24.72,1.202,,1100000,,,,,,,,,,
1994,7,11,탄천5,7.2,5.6,16.1,11.3,22,25.152,0.933,,1100000,,,,,,,,,,
1994,7,14,고덕천,8.8,6.8,7,12.8,14,10.57,0.088,,50000,,,,,,,,,,
1994,7,14,도림천,9.4,13.3,11.6,15.9,10,14.14,0.175,,2700,,,,,,,,,,
1994,7,14,목감천,7.5,2.6,33,42.4,47,17.28,0.489,,700000,,,,,,,,,,
1994,7,14,성내천,7.6,3.8,9.6,10.2,18,6.477,0.064,,14000,,,,,,,,,,
1994,7,14,양재천,8.1,10.2,5.5,9.4,15,9.248,0.045,,11000,,,,,,,,,,
1994,7,14,정릉천,7.2,1.9,24,22.4,26,11.248,0.702,,340000,,,,,,,,,,
1994,7,14,홍제천,8.2,10.6,9.2,11.5,8,8.486,0.103,,140000,,,,,,,,,,
1994,7,19,잠실,7.2,6.5,2.2,2.7,6.5,3.071,0.073,,540,,,,,,,,,,
1994,8,8,가양,7.5,5.9,4.6,5.6,8,6.228,0.359,,68000,0,0,0,0,0,0,,,0,
1994,8,8,고덕천,9.3,5.4,6.7,12.4,37,9.844,0.412,,4000,,,,,,,,,,
1994,8,8,노량진,7.7,5.7,2.7,4.4,6.5,4.162,0.256,,24000,0,0,0,0,0,0,,,0,
1994,8,8,도림천,9.3,7.2,8.8,10.8,26,10.066,0.633,,21000,,,,,,,,,,
1994,8,8,목감천,8.5,6,57.4,46.8,188,16.325,2.077,,4000000,,,,,,,,,,
1994,8,8,보광,7.3,6.2,2.4,4.2,7,2.592,0.174,,160000,,,,,,,,,,
1994,8,8,성내천,8.9,2.8,10.3,9.7,11,7.646,0.3,,21000,,,,,,,,,,
1994,8,8,양재천,7.4,11.8,7.5,13.6,23,11.243,0.243,,21000,,,,,,,,,,
1994,8,8,영등포,7.2,6.2,1.5,3.6,6,3.528,0.197,,24000,,,,,,,,,,
1994,8,8,정릉천,7.9,2.2,20,12.1,95,10.469,1.127,,700000,,,,,,,,,,
1994,8,8,홍제천,8.1,6,9.8,10.1,12,8.938,0.549,,300000,,,,,,,,,,
1994,8,9,구의,7.1,5.1,1.2,3.3,6,4.766,0.031,,90000,,,,,,,,,,
1994,8,9,안양천4,7.4,3.5,14.3,17.8,31,18.096,1.296,,1700000,,,,,,,,,,
1994,8,9,안양천5,7.1,3.1,16.6,21.6,27,18,1.47,,1700000,,,,,,,,,,
1994,8,9,암사,7.2,5.3,1,3.4,3,2.059,0.077,,30000,,,,,,,,,,
1994,8,11,중랑천2,7.2,7.2,8.1,8.7,69,6.576,0.372,,9000000,,,,,,,,,,
1994,8,11,중랑천3,7,3.4,8.6,8.8,40,12.216,0.699,,1600000,,,,,,,,,,
1994,8,11,중랑천4,7.1,7.2,14.2,11.3,43,11.976,1.104,,1600000,,,,,,,,,,
1994,8,11,탄천5,7.1,5.4,15.1,13.8,31,10.272,0.928,,1600000,,,,,,,,,,
1994,8,18,잠실,7.5,6.4,2.6,3.2,6.5,2.525,0.136,,920,,,,,,,,,,
1994,9,4,중랑천2,7.2,6.7,6.9,9.1,61,5.712,0.715,,9000000,0,0,0,0,0,0,,,0.1,
1994,9,5,가양,7.6,4.9,3.9,4.5,11.2,4.866,0.234,,30000,0,0,0,0,0,0,,,0,
1994,9,5,노량진,7.5,5.9,2.3,4.1,7,3.46,0.179,,6000,0,0,0,0,0,0,,,0,
1994,9,5,중랑천3,7.2,5.2,6.5,9,64,11.088,0.372,,1600000,0,0,0,0,0,0,,,0.5,
1994,9,5,중랑천4,7.2,5.2,8.3,11.1,54,18.192,0.79,,1600000,0,0,0,0,0,0,,,0.4,
1994,9,5,탄천5,7.2,4.2,13.7,17.9,33,23.04,0.857,,1600000,0,0,0,0,0.008,0,,,0.3,
1994,9,7,고덕천,7.9,7.5,9.8,11.5,11,10.753,0.274,,170000,0,0,0.08,0,0,0,,,0.2,
1994,9,7,도림천,7.8,4,10.7,12.4,10,10.008,0.5,,50000,0,0,0.08,0,0,0,,,0.1,
1994,9,7,목감천,7.4,1.1,27.6,24.8,23,16.713,1.703,,1100000,0,0,0.1,0,0,0,,,0.2,
1994,9,7,성내천,7.4,5,10.1,14,12,7.794,0.239,,24000,0,0,0.02,0,0,0,,,0.1,
1994,9,7,양재천,7.4,6.7,2.2,3.2,6,11.478,0.172,,2700,0,0,0.09,0,0,0,,,0.1,
1994,9,7,정릉천,7.4,2.4,18.4,15.1,16,11.174,0.78,,500000,0,0,0.1,0,0,0,,,0.1,
1994,9,7,홍제천,7.4,8.8,20.8,26.4,22,14.057,0.488,,110000,0,0,0.03,0,0,0,,,0,
1994,9,8,잠실,7.4,6.7,1.8,2.7,8,1.679,0.083,,500,0,0,0,0,0,0,,,0.3,
1994,9,25,안양천4,7.4,7.4,17.3,25,33,17.032,1.973,,1600000,0,0.01,0,0,0.019,0,,,1,
1994,9,25,영등포,7.5,7.4,2.1,4,19,3.672,0.299,,90000,0,0,0,0,0,0,,,0,
1994,9,29,구의,7.6,8.4,2.4,4.5,6,2.491,0.273,,1300,0,0,0,0,0,0,,,0,
1994,9,29,보광,7.7,4.2,2.6,5.9,17,2.174,0.213,,17000,0,0,0,0,0,0,,,0,
1994,9,29,안양천5,7.2,2.1,8.1,11.1,41,18.739,0.939,,1600000,0,0,0.22,0,0.005,0,,,0.9,
1994,9,29,암사,7.7,8.3,2,4.5,9,2.736,0.33,,1100,0,0,0,0,0,0,,,0,
1994,10,4,가양,7.4,5.7,3.7,5.5,12,3.009,0.232,,80000,0,0,0,0,0,0,,,0.1,
1994,10,4,노량진,7.5,5.8,2.3,4.4,10,3.261,0.244,,19000,0,0,0,0,0,0,,,0.1,
1994,10,4,중랑천2,7.2,3.1,21.3,24,78,2.688,0.595,,500000,,,,,,,,,,
1994,10,4,중랑천3,7.2,2.7,15.5,32.6,94,4.92,0.467,,900000,,,,,,,,,,
1994,10,4,중랑천4,7,4.2,13.8,19.6,41,10.032,0.956,,1600000,,,,,,,,,,
1994,10,4,탄천5,7,3.1,19.4,17.2,19,3.888,0.918,,14000,,,,,,,,,,
1994,10,5,구의,8.2,5.2,1.8,3.5,6,1.426,0.069,,1600,,,,,,,,,,
1994,10,5,보광,7.6,7.6,3.1,5.9,4,3.182,0.338,,1600,,,,,,,,,,
1994,10,5,암사,8.5,7.9,1.2,4.8,7,1.411,0.069,,1100,,,,,,,,,,
1994,10,11,잠실,7.7,8,2.8,3.8,7.5,2.684,0.095,,600,,,,,,,,,,
1994,10,17,고덕천,7.1,7.8,7.1,6.5,66,6.402,0.457,,80000,,,,,,,,,,
1994,10,17,도림천,8.4,7.2,7.8,8.9,6.4,3.289,0.106,,11000,,,,,,,,,,
1994,10,17,목감천,7.1,4,18.6,11.1,20,6.552,0.5,,210000,,,,,,,,,,
1994,10,17,성내천,7.2,7.1,5.7,6.6,20,3.238,0.255,,400000,,,,,,,,,,
1994,10,17,양재천,7.1,7,5.8,3.1,6.8,3.632,0.111,,40000,,,,,,,,,,
1994,10,17,정릉천,7,6.6,8,13.7,6.6,5.915,0.322,,110000,,,,,,,,,,
1994,10,17,홍제천,7.4,6,8.3,5.1,8.8,5.359,0.303,,170000,,,,,,,,,,
1994,10,22,영등포,7.1,5.8,1.3,4,13,4.012,0.32,,90000,,,,,,,,,,
1994,10,23,안양천4,7.4,4.1,12.8,25,44,15.701,1.052,,1600000,,,,,,,,,,
1994,10,23,안양천5,7.3,2.3,15.6,11.1,41,11.376,1.177,,1600000,,,,,,,,,,
1994,11,3,구의,7.5,5.2,2.1,3.1,8,2.592,0.022,,900,,,,,,,,,,
1994,11,3,보광,7.3,7.7,2.4,3.6,8,3.672,0.08,,1600,,,,,,,,,,
1994,11,3,암사,7.5,9.2,1.4,2.1,6,1.786,0.002,,35,,,,,,,,,,
1994,11,14,고덕천,7,6.6,22.9,20.9,4.5,6.059,0.751,,300000,,,,,,,,,,
